Date,Team1,Team2,Map,Event
17/12/19,Vitality (16),EHOME (12),"inf
                      Inferno",EPICENTER 2019
16/12/19,Defusekids (11),Phoenix (16),"inf
                      Inferno",WESG 2019 West Europe Closed Qualifier
16/12/19,Defusekids (8),Phoenix (16),"trn
                      Train",WESG 2019 West Europe Closed Qualifier
16/12/19,Sprout (9),Movistar Riders (16),"ovp
                      Overpass",WESG 2019 Central Europe & Iberia Closed Qualifier
16/12/19,Movistar Riders (14),Sprout (16),"mrg
                      Mirage",WESG 2019 Central Europe & Iberia Closed Qualifier
16/12/19,Movistar Riders (16),Sprout (9),"inf
                      Inferno",WESG 2019 Central Europe & Iberia Closed Qualifier
16/12/19,PACT (9),AGO (16),"d2
                      Dust2",LOOT.BET Season 5
16/12/19,AGO (16),PACT (14),"inf
                      Inferno",LOOT.BET Season 5
16/12/19,Nordavind (16),SJ (10),"mrg
                      Mirage",LOOT.BET Season 5
16/12/19,Nordavind (19),SJ (17),"nuke
                      Nuke",LOOT.BET Season 5
16/12/19,Wisla Krakow (4),Winstrike (16),"d2
                      Dust2",LOOT.BET Season 5
16/12/19,Wisla Krakow (12),Winstrike (16),"mrg
                      Mirage",LOOT.BET Season 5
16/12/19,CSGO-MDL (16),Divine (7),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
16/12/19,Divine (5),CSGO-MDL (16),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
16/12/19,forZe (16),Riot Squad (10),"inf
                      Inferno",ESEA MDL Season 32 Global Challenge
16/12/19,Riot Squad (13),forZe (16),"nuke
                      Nuke",ESEA MDL Season 32 Global Challenge
16/12/19,G2 (14),mousesports (16),"trn
                      Train",cs_summit 5
16/12/19,mousesports (1),G2 (16),"vtg
                      Vertigo",cs_summit 5
16/12/19,G2 (17),mousesports (19),"mrg
                      Mirage",cs_summit 5
15/12/19,Divine (16),J Money Crew (10),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,J Money Crew (7),Divine (16),"d2
                      Dust2",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,Divine (12),J Money Crew (16),"vtg
                      Vertigo",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,paiN (16),DETONA (14),"trn
                      Train",Gamers Club Masters IV
15/12/19,DETONA (15),paiN (19),"nuke
                      Nuke",Gamers Club Masters IV
15/12/19,paiN (21),DETONA (25),"vtg
                      Vertigo",Gamers Club Masters IV
15/12/19,Virtus.pro (12),G2 (16),"trn
                      Train",cs_summit 5
15/12/19,G2 (16),Virtus.pro (7),"nuke
                      Nuke",cs_summit 5
15/12/19,Virtus.pro (16),G2 (12),"vtg
                      Vertigo",cs_summit 5
15/12/19,HAVU (17),Riot Squad (19),"d2
                      Dust2",ESEA MDL Season 32 Global Challenge
15/12/19,Riot Squad (14),HAVU (16),"trn
                      Train",ESEA MDL Season 32 Global Challenge
15/12/19,HAVU (11),Riot Squad (16),"nuke
                      Nuke",ESEA MDL Season 32 Global Challenge
15/12/19,J Money Crew (16),New England Whalers (3),"d2
                      Dust2",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,New England Whalers (12),J Money Crew (16),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,J Money Crew (10),New England Whalers (16),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,EXORS (13),ECLOT (16),"inf
                      Inferno",ESL Nationals CZSK Season 2
15/12/19,ECLOT (16),EXORS (14),"mrg
                      Mirage",ESL Nationals CZSK Season 2
15/12/19,North (16),CR4ZY (8),"d2
                      Dust2",DreamHack Open Sevilla 2019
15/12/19,North (13),CR4ZY (16),"vtg
                      Vertigo",DreamHack Open Sevilla 2019
15/12/19,North (16),CR4ZY (4),"mrg
                      Mirage",DreamHack Open Sevilla 2019
15/12/19,mousesports (16),OG (12),"d2
                      Dust2",cs_summit 5
15/12/19,mousesports (16),OG (5),"inf
                      Inferno",cs_summit 5
15/12/19,OG (16),mousesports (12),"mrg
                      Mirage",cs_summit 5
15/12/19,Copenhagen Flames (8),pro100 (16),"vtg
                      Vertigo",Qi Banja Luka 2019
15/12/19,pro100 (16),Copenhagen Flames (8),"ovp
                      Overpass",Qi Banja Luka 2019
15/12/19,Copenhagen Flames (16),pro100 (10),"trn
                      Train",Qi Banja Luka 2019
15/12/19,KINGZZZ (16),Equinox (4),"ovp
                      Overpass",Swiss Esports League Fall Season 2019 Finals
15/12/19,KINGZZZ (16),Equinox (9),"d2
                      Dust2",Swiss Esports League Fall Season 2019 Finals
15/12/19,forZe (16),INTZ (12),"mrg
                      Mirage",ESEA MDL Season 32 Global Challenge
15/12/19,forZe (7),INTZ (16),"vtg
                      Vertigo",ESEA MDL Season 32 Global Challenge
15/12/19,INTZ (13),forZe (16),"nuke
                      Nuke",ESEA MDL Season 32 Global Challenge
15/12/19,Chetz (16),Fierce (6),"inf
                      Inferno",Grosvenor CS:GO Championship Season 3
15/12/19,Fierce (10),Chetz (16),"nuke
                      Nuke",Grosvenor CS:GO Championship Season 3
15/12/19,CSGO-MDL (16),Divine (12),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,Divine (16),CSGO-MDL (8),"d2
                      Dust2",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,Divine (11),CSGO-MDL (16),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,J Money Crew (16),Oceanus (14),"vtg
                      Vertigo",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,New England Whalers (16),call it luck (13),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,Copenhagen Flames (16),Juggernauts (6),"inf
                      Inferno",Qi Banja Luka 2019
15/12/19,Juggernauts (12),Copenhagen Flames (16),"vtg
                      Vertigo",Qi Banja Luka 2019
15/12/19,GODSENT (7),CR4ZY (16),"d2
                      Dust2",DreamHack Open Sevilla 2019
15/12/19,GODSENT (3),CR4ZY (16),"trn
                      Train",DreamHack Open Sevilla 2019
15/12/19,CR4ZY (6),GODSENT (16),"vtg
                      Vertigo",DreamHack Open Sevilla 2019
15/12/19,Fierce (16),Vexed (8),"mrg
                      Mirage",Grosvenor CS:GO Championship Season 3
15/12/19,Vexed (17),Fierce (19),"ovp
                      Overpass",Grosvenor CS:GO Championship Season 3
15/12/19,Juggernauts (5),pro100 (16),"trn
                      Train",Qi Banja Luka 2019
15/12/19,Juggernauts (9),pro100 (16),"vtg
                      Vertigo",Qi Banja Luka 2019
15/12/19,pro100 (14),Juggernauts (16),"inf
                      Inferno",Qi Banja Luka 2019
15/12/19,North (16),MAD Lions (11),"vtg
                      Vertigo",DreamHack Open Sevilla 2019
15/12/19,North (16),MAD Lions (14),"d2
                      Dust2",DreamHack Open Sevilla 2019
15/12/19,MAD Lions (16),North (10),"ovp
                      Overpass",DreamHack Open Sevilla 2019
15/12/19,Chetz (16),NEDS (14),"d2
                      Dust2",Grosvenor CS:GO Championship Season 3
15/12/19,NEDS (6),Chetz (16),"trn
                      Train",Grosvenor CS:GO Championship Season 3
15/12/19,TYLOO (7),Syman (16),"d2
                      Dust2",NEST Pro 2019
15/12/19,TYLOO (6),Syman (16),"ovp
                      Overpass",NEST Pro 2019
15/12/19,BTRG (9),TYLOO (16),"trn
                      Train",NEST Pro 2019
15/12/19,BTRG (8),TYLOO (16),"inf
                      Inferno",NEST Pro 2019
15/12/19,mousesports (16),FURIA (5),"vtg
                      Vertigo",cs_summit 5
15/12/19,Oceanus (16),Daryl's make a wish (5),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,RBG (4),New England Whalers (16),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,mousesports (16),FURIA (9),"mrg
                      Mirage",cs_summit 5
15/12/19,Third Impact (14),Oceanus (16),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,RBG (16),Gorilla Gang (14),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,call it luck (6),CSGO-MDL (16),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,CSGO-MDL (19),call it luck (16),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,J Money Crew (10),Divine (16),"d2
                      Dust2",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,Divine (16),J Money Crew (7),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,J Money Crew (16),Divine (5),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,OG (16),FURIA (7),"inf
                      Inferno",cs_summit 5
15/12/19,Asuna's Anime Aimers (12),New England Whalers (16),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,RBG (16),Thunder Logic (6),"trn
                      Train",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,ORDER (8),INTZ (16),"mrg
                      Mirage",ESEA MDL Season 32 Global Challenge
15/12/19,INTZ (16),ORDER (6),"inf
                      Inferno",ESEA MDL Season 32 Global Challenge
15/12/19,Riot Squad (16),Spirit (13),"trn
                      Train",ESEA MDL Season 32 Global Challenge
15/12/19,Spirit (10),Riot Squad (16),"inf
                      Inferno",ESEA MDL Season 32 Global Challenge
15/12/19,Riot Squad (13),Spirit (16),"mrg
                      Mirage",ESEA MDL Season 32 Global Challenge
15/12/19,FURIA (14),OG (16),"ovp
                      Overpass",cs_summit 5
15/12/19,UCF Knights (4),Daryl's make a wish (16),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,RBG (16),Cyberstorm (7),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,Third Impact (12),CSGO-MDL (16),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,CSGO-MDL (16),Third Impact (10),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
15/12/19,OG (16),MIBR (6),"d2
                      Dust2",cs_summit 5
14/12/19,Gorilla Gang (9),J Money Crew (16),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,J Money Crew (16),Gorilla Gang (6),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,paiN (16),W7M (2),"inf
                      Inferno",Gamers Club Masters IV
14/12/19,W7M (21),paiN (25),"ovp
                      Overpass",Gamers Club Masters IV
14/12/19,UCF Knights (16),Empire (8),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Asuna's Anime Aimers (16),Kinship (11),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Oceanus (16),Big Chillin (8),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,MIBR (7),OG (16),"mrg
                      Mirage",cs_summit 5
14/12/19,Divine (16),New England Whalers (4),"d2
                      Dust2",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Divine (16),New England Whalers (9),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,New England Whalers (16),Divine (14),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,ORDER (16),Triumph (14),"nuke
                      Nuke",ESEA MDL Season 32 Global Challenge
14/12/19,Triumph (11),ORDER (16),"inf
                      Inferno",ESEA MDL Season 32 Global Challenge
14/12/19,Riot Squad (16),Rugratz (11),"trn
                      Train",ESEA MDL Season 32 Global Challenge
14/12/19,Rugratz (10),Riot Squad (16),"d2
                      Dust2",ESEA MDL Season 32 Global Challenge
14/12/19,Daryl's make a wish (3),call it luck (16),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Daryl's make a wish (16),call it luck (14),"trn
                      Train",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,call it luck (16),Daryl's make a wish (3),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Kinship (16),Arrow (11),"trn
                      Train",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Bad News Bandits (13),Empire (16),"d2
                      Dust2",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,MIBR (16),Virtus.pro (3),"inf
                      Inferno",cs_summit 5
14/12/19,The Home of the Grave (11),Big Chillin (16),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,HAVU (16),INTZ (9),"ovp
                      Overpass",ESEA MDL Season 32 Global Challenge
14/12/19,Spirit (14),forZe (16),"nuke
                      Nuke",ESEA MDL Season 32 Global Challenge
14/12/19,Virtus.pro (16),MIBR (14),"trn
                      Train",cs_summit 5
14/12/19,Illuminar (10),GODSENT (16),"vtg
                      Vertigo",DreamHack Open Sevilla 2019
14/12/19,GODSENT (14),Illuminar (16),"nuke
                      Nuke",DreamHack Open Sevilla 2019
14/12/19,Illuminar (14),GODSENT (16),"ovp
                      Overpass",DreamHack Open Sevilla 2019
14/12/19,UCF Knights (5),New England Whalers (16),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,New England Whalers (25),UCF Knights (23),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Thunder Logic (4),CSGO-MDL (16),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,CSGO-MDL (16),Thunder Logic (5),"trn
                      Train",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Brute (12),Universe (16),"inf
                      Inferno",ESL Nationals CZSK Season 2 Finals
14/12/19,Brute (14),Universe (16),"mrg
                      Mirage",ESL Nationals CZSK Season 2 Finals
14/12/19,Universe (19),Brute (22),"nuke
                      Nuke",ESL Nationals CZSK Season 2 Finals
14/12/19,Third Impact (16),RBG (5),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,RBG (27),Third Impact (31),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Third Impact (11),RBG (16),"trn
                      Train",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Triumph (13),HAVU (16),"mrg
                      Mirage",ESEA MDL Season 32 Global Challenge
14/12/19,call it luck (16),Asuna's Anime Aimers (9),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Asuna's Anime Aimers (17),call it luck (19),"d2
                      Dust2",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Virtus.pro (2),G2 (16),"vtg
                      Vertigo",cs_summit 5
14/12/19,ex-Intic (9),9z (16),"inf
                      Inferno",Dragon Spirit Cup 2019
14/12/19,9z (16),ex-Intic (7),"vtg
                      Vertigo",Dragon Spirit Cup 2019
14/12/19,Riot Squad (4),Spirit (16),"nuke
                      Nuke",ESEA MDL Season 32 Global Challenge
14/12/19,Copenhagen Flames (16),ARCY (14),"nuke
                      Nuke",Qi Banja Luka 2019
14/12/19,ARCY (16),Copenhagen Flames (10),"ovp
                      Overpass",Qi Banja Luka 2019
14/12/19,Copenhagen Flames (16),ARCY (6),"mrg
                      Mirage",Qi Banja Luka 2019
14/12/19,J Money Crew (16),Oceanus (11),"mrg
                      Mirage",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,J Money Crew (16),Oceanus (12),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Oceanus (16),J Money Crew (14),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Bad News Bandits (10),Divine (16),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Divine (16),Bad News Bandits (5),"trn
                      Train",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Big Chillin (13),Gorilla Gang (16),"inf
                      Inferno",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Gorilla Gang (16),Big Chillin (12),"trn
                      Train",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Big Chillin (16),Gorilla Gang (11),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Arrow (6),Daryl's make a wish (16),"ovp
                      Overpass",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,Daryl's make a wish (16),Arrow (9),"nuke
                      Nuke",NCS Grand Finals 2019 @ Fragadelphia 14
14/12/19,G2 (16),Virtus.pro (8),"trn
                      Train",cs_summit 5
14/12/19,ORDER (7),INTZ (16),"trn
                      Train",ESEA MDL Season 32 Global Challenge
